Function,Rule_ID,Match_Type,Confidence,Source,Service,Resource
alicloud.cms.log.metric_filter_policy_changes,alicloud.cms.log.metric_filter_policy_changes,exact,1.0000,generated,cms,log
"alicloud.cms.log.metric_filter_policy_changes, alicloud_ram_password_policy_reuse_24, alicloud_ram_user_accesskey_unused, alicloud_ram_user_console_access_unused",alicloud.cms.log.metric_filter_policy_changes_alicloud_ram_password_policy_reuse_24_alicloud_ram_user_accesskey_unused_alicloud_ram_user_console_access_unused,high_similarity,0.9684,catalog_similarity,cms,log
alicloud.cms.log.metric_filter_root_usage,alicloud.cms.log.metric_filter_root_usage,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_security_group_changes,alicloud.cms.log.metric_filter_security_group_changes,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_sign_in_without_mfa,alicloud.cms.log.metric_filter_sign_in_without_mfa,exact,1.0000,generated,cms,log
alicloud.cms.log.metric_filter_unauthorized_api_calls,alicloud.cms.log.metric_filter_unauthorized_api_calls,exact,1.0000,generated,cms,log
alicloud.cms.storage.account_with_activity_logs_cmk_encrypted,alicloud.cms.storage.account_with_activity_logs_cmk_encrypted,exact,1.0000,generated,cms,storage
alicloud.cms.storage.account_with_activity_logs_is_private,alicloud.cms.storage.account_with_activity_logs_is_private,exact,1.0000,generated,cms,storage
alicloud.config.recorder.all_regions_enabled,alicloud.config.recorder.config_recorder_enabled,medium_similarity,0.5714,catalog_similarity,config,recorder
alicloud.config.workload.no_high_or_medium_risks,alicloud.config.workload.no_high_or_medium_risks,exact,1.0000,generated,config,workload
alicloud.cr.container.scanning_enabled,alicloud.cr.container.vulnerability_scanning_enabled,medium_similarity,0.6957,catalog_similarity,cr,container
alicloud.cr.instance.access_policy_and_network_restriction_audit,alicloud.cr.instance.access_policy_and_network_restriction_audit,exact,1.0000,generated,cr,instance
alicloud.cr.not.publicly_accessible,alicloud.cr.not.publicly_accessible,exact,1.0000,generated,cr,not
alicloud.cr.packages.external_public_publishing_disabled,alicloud.cr.packages.external_public_publishing_disabled,exact,1.0000,generated,cr,packages
alicloud.cr.repository.not_publicly_accessible,alicloud.cr.repository.not_publicly_accessible,exact,1.0000,generated,cr,repository
alicloud.cr.repository.vulnerability_scanning_enabled,alicloud.cr.repository.scanning_enabled,medium_similarity,0.6957,catalog_similarity,cr,repository
alicloud.cr.uses.private_link,alicloud.cr.uses.private_link,exact,1.0000,generated,cr,uses
alicloud.dataworks.data.catalogs_connection_passwords_encryption_enabled,alicloud.dataworks.data.catalogs_connection_passwords_encryption_enabled,exact,1.0000,generated,dataworks,data
alicloud.dataworks.data.catalogs_metadata_encryption_enabled,alicloud.dataworks.data.catalogs_metadata_encryption_enabled,exact,1.0000,generated,dataworks,data
alicloud.dataworks.data.catalogs_not_publicly_accessible,alicloud.dataworks.data.catalogs_not_publicly_accessible,exact,1.0000,generated,dataworks,data
alicloud.dataworks.development.endpoints_cloudmonitor_logs_encryption_enabled,alicloud.dataworks.development.endpoints_cloudmonitor_logs_encryption_enabled,exact,1.0000,generated,dataworks,development
alicloud.dataworks.development.endpoints_job_bookmark_encryption_enabled,alicloud.dataworks.development.endpoints_job_bookmark_encryption_enabled,exact,1.0000,generated,dataworks,development
alicloud.dataworks.development.endpoints_oss_encryption_enabled,alicloud.dataworks.development.endpoints_oss_encryption_enabled,exact,1.0000,generated,dataworks,development
alicloud.dataworks.etl.jobs_amazon_oss_encryption_enabled,alicloud.dataworks.etl.jobs_amazon_oss_encryption_enabled,exact,1.0000,generated,dataworks,etl
alicloud.dataworks.etl.jobs_cloudmonitor_logs_encryption_enabled,alicloud.dataworks.etl.jobs_cloudmonitor_logs_encryption_enabled,exact,1.0000,generated,dataworks,etl
alicloud.dataworks.etl.jobs_job_bookmark_encryption_enabled,alicloud.dataworks.etl.jobs_job_bookmark_encryption_enabled,exact,1.0000,generated,dataworks,etl
alicloud.dataworks.etl.jobs_logging_enabled,alicloud.dataworks.etl.jobs_logging_enabled,exact,1.0000,generated,dataworks,etl
alicloud.dataworks.lake.analytics_workgroup_encryption,alicloud.dataworks.lake.analytics_workgroup_encryption,exact,1.0000,generated,dataworks,lake
alicloud.dataworks.ml.transform_encrypted_at_rest,alicloud.dataworks.ml.transform_encrypted_at_rest,exact,1.0000,generated,dataworks,ml
alicloud.dataworks.stream.data_retention_period,alicloud.dataworks.stream.data_retention_period,exact,1.0000,generated,dataworks,stream
alicloud.dataworks.stream.encrypted_at_rest,alicloud.dataworks.stream.encrypted_at_rest,exact,1.0000,generated,dataworks,stream
alicloud.ddos.advanced.protection_in_internet_facing_load_balancers,alicloud.ddos.advanced.protection_in_internet_facing_load_balancers,exact,1.0000,generated,ddos,advanced
alicloud.ddos.log.collection_status,alicloud.ddos.log.collection_status,exact,1.0000,generated,ddos,log
alicloud.devops.project.artifact_encryption,alicloud.devops.project.artifact_encryption,exact,1.0000,generated,devops,project
alicloud.devops.project.envvar_awscred_check,alicloud.devops.project.envvar_awscred_check,exact,1.0000,generated,devops,project
alicloud.devops.project.logging_enabled,alicloud.devops.project.logging_enabled,exact,1.0000,generated,devops,project
alicloud.devops.project.no_secrets_in_variables,alicloud.devops.project.no_secrets_in_variables,exact,1.0000,generated,devops,project
"alicloud.devops.project.no_secrets_in_variables, alicloud_devops_project_source_repo_url_no_sensitive_credentials, alicloud_oss_bucket_enforces_ssl, alicloud_alb_ssl_listeners, alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled, alicloud_slb_ssl_listeners, alicloud_ecs_ebs_default_encryption, alicloud_rds_instance_storage_encrypted, alicloud_pai_notebook_instance_encryption_enabled, alicloud_oss_bucket_default_encryption, alicloud_nas_encryption_at_rest_enabled, alicloud_elasticsearch_service_domains_encryption_at_rest_enabled, alicloud_ecs_ebs_volume_encryption, alicloud_oss_bucket_kms_encryption, alicloud_ack_cluster_kms_cmk_encryption_in_secrets_enabled, alicloud_rds_snapshots_encrypted, alicloud_tablestore_accelerator_cluster_encryption_enabled, alicloud_tablestore_table_encryption_enabled, alicloud_actiontrail_kms_encryption_enabled, alicloud_cms_log_group_kms_encryption_enabled, alicloud_mns_topics_kms_encryption_at_rest_enabled, alicloud_tablestore_tables_kms_cmk_encryption_enabled, alicloud_analyticdb_cluster_audit_logging",alicloud.devops.project.no_secrets_in_variables_alicloud_devops_project_source_repo_url_no_sensitive_credentials_alicloud_oss_bucket_enforces_ssl_alicloud_alb_ssl_listeners_alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled_alicloud_slb_ssl_listeners_alicloud_ecs_ebs_default_encryption_alicloud_rds_instance_storage_encrypted_alicloud_pai_notebook_instance_encryption_enabled_alicloud_oss_bucket_default_encryption_alicloud_nas_encryption_at_rest_enabled_alicloud_elasticsearch_service_domains_encryption_at_rest_enabled_alicloud_ecs_ebs_volume_encryption_alicloud_oss_bucket_kms_encryption_alicloud_ack_cluster_kms_cmk_encryption_in_secrets_enabled_alicloud_rds_snapshots_encrypted_alicloud_tablestore_accelerator_cluster_encryption_enabled_alicloud_tablestore_table_encryption_enabled_alicloud_actiontrail_kms_encryption_enabled_alicloud_cms_log_group_kms_encryption_enabled_alicloud_mns_topics_kms_encryption_at_rest_enabled_alicloud_tablestore_tables_kms_cmk_encryption_enabled_alicloud_analyticdb_cluster_audit_logging,medium_similarity,0.5024,catalog_similarity,devops,project
alicloud.devops.project.older_90_days,alicloud.devops.project.older_90_days,exact,1.0000,generated,devops,project
alicloud.devops.project.oss_logs_encrypted,alicloud.devops.project.oss_logs_encrypted,exact,1.0000,generated,devops,project
alicloud.devops.project.source_repo_url_check,alicloud.devops.project.source_repo_url_check,exact,1.0000,generated,devops,project
alicloud.devops.project.source_repo_url_no_sensitive_credentials,alicloud.devops.project.source_repo_url_no_sensitive_credentials,exact,1.0000,generated,devops,project
"alicloud.devops.project.source_repo_url_no_sensitive_credentials, alicloud_devops_project_no_secrets_in_variables",alicloud.devops.project.source_repo_url_no_sensitive_credentials_alicloud_devops_project_no_secrets_in_variables,high_similarity,0.9831,catalog_similarity,devops,project
alicloud.devops.project.user_controlled_buildspec,alicloud.devops.project.user_controlled_buildspec,exact,1.0000,generated,devops,project
alicloud.devops.report.group_export_encrypted,alicloud.devops.report.group_export_encrypted,exact,1.0000,generated,devops,report
alicloud.dms.endpoint.redis_in_transit_encryption_enabled,alicloud.dms.endpoint.redis_in_transit_encryption_enforced,high_similarity,0.9014,catalog_similarity,dms,endpoint
alicloud.dms.instance.multi_az_enabled,alicloud.dms.instance.multi_az_deployment,medium_similarity,0.6286,catalog_similarity,dms,instance
alicloud.dms.replication_instance.task_source_logging_enabled,alicloud.dms.replication_instance.source_logging_enabled_90_day_retention,medium_similarity,0.6667,catalog_similarity,dms,replication_instance
alicloud.dms.replication_instance.task_target_logging_enabled,alicloud.dms.replication_instance.target_logging_enabled_90_day_retention,medium_similarity,0.6667,catalog_similarity,dms,replication_instance
alicloud.dns.dnssec.disabled,alicloud.dns.dnssec.disabled,exact,1.0000,generated,dns,dnssec
alicloud.dns.public.hosted_zones_cloudmonitor_logging_enabled,alicloud.dns.public.hosted_zones_cloudmonitor_logging_enabled,exact,1.0000,generated,dns,public
alicloud.dns.rsasha1.in_use_to_key_sign_in_dnssec,alicloud.dns.rsasha1.in_use_to_key_sign_in_dnssec,exact,1.0000,generated,dns,rsasha1
alicloud.dns.rsasha1.in_use_to_zone_sign_in_dnssec,alicloud.dns.rsasha1.in_use_to_zone_sign_in_dnssec,exact,1.0000,generated,dns,rsasha1
alicloud.dts.instance.no_public_access,alicloud.dts.instance.private_access_only,medium_similarity,0.5143,catalog_similarity,dts,instance
alicloud.dts.server.in_transit_encryption_enabled,alicloud.dts.server.in_transit_encryption_enabled,exact,1.0000,generated,dts,server
alicloud.dts.task.logging_enabled,alicloud.dts.task.logging_enabled,exact,1.0000,generated,dts,task
alicloud.ecs.ami.public,alicloud.ecs.ami.public,exact,1.0000,generated,ecs,ami
alicloud.ecs.backup.enabled,alicloud.ecs.backup.automated_enabled,medium_similarity,0.5833,catalog_similarity,ecs,backup
alicloud.ecs.client.vpn_endpoint_connection_logging_enabled,alicloud.ecs.client.vpn_endpoint_connection_logging_enabled,exact,1.0000,generated,ecs,client
alicloud.ecs.disk.encrypted,alicloud.ecs.disk.snapshots_encrypted,medium_similarity,0.6429,catalog_similarity,ecs,disk
alicloud.ecs.disk.encryption_at_rest_check,alicloud.ecs.disk.encryption_at_rest_enabled,high_similarity,0.8000,catalog_similarity,ecs,disk
alicloud.ecs.disk.encryption_enabled,alicloud.ecs.disk.volume_encryption_at_rest_enabled,high_similarity,0.7059,catalog_similarity,ecs,disk
alicloud.ecs.disk.public_snapshot,alicloud.ecs.disk.public_snapshot_access_blocked,medium_similarity,0.6667,catalog_similarity,ecs,disk
alicloud.ecs.ebs.default_encryption,alicloud.ecs.ebs.default_encryption,exact,1.0000,generated,ecs,ebs
alicloud.ecs.ebs.public_snapshot,alicloud.ecs.ebs.public_snapshot,exact,1.0000,generated,ecs,ebs
"alicloud.ecs.ebs.public_snapshot, alicloud_rds_instance_no_public_access, alicloud_ack_endpoints_not_publicly_accessible, alicloud_oss_account_level_public_access_blocks, alicloud_awslambda_function_not_publicly_accessible, alicloud_emr_cluster_master_nodes_no_public_ip, alicloud_ecs_instance_public_ip, alicloud_cms_log_metric_filter_root_usage, alicloud_rds_snapshots_public_access, alicloud_elasticsearch_service_domains_not_publicly_accessible, alicloud_analyticdb_cluster_public_access, alicloud_oss_bucket_policy_public_write_access, alicloud_oss_bucket_public_write_acl, alicloud_dts_instance_no_public_access, alicloud_pai_notebook_instance_without_direct_internet_access_configured",alicloud.ecs.ebs.public_snapshot_alicloud_rds_instance_no_public_access_alicloud_ack_endpoints_not_publicly_accessible_alicloud_oss_account_level_public_access_blocks_alicloud_awslambda_function_not_publicly_accessible_alicloud_emr_cluster_master_nodes_no_public_ip_alicloud_ecs_instance_public_ip_alicloud_cms_log_metric_filter_root_usage_alicloud_rds_snapshots_public_access_alicloud_elasticsearch_service_domains_not_publicly_accessible_alicloud_analyticdb_cluster_public_access_alicloud_oss_bucket_policy_public_write_access_alicloud_oss_bucket_public_write_acl_alicloud_dts_instance_no_public_access_alicloud_pai_notebook_instance_without_direct_internet_access_configured,high_similarity,0.8081,catalog_similarity,ecs,ebs
"alicloud.ecs.ebs.public_snapshot, alicloud_rds_instance_no_public_access, alicloud_ack_endpoints_not_publicly_accessible, alicloud_vpc_endpoint_for_ec2_enabled, alicloud_oss_account_level_public_access_blocks, alicloud_awslambda_function_not_publicly_accessible, alicloud_emr_cluster_master_nodes_no_public_ip, alicloud_ecs_instance_public_ip, alicloud_rds_snapshots_public_access, alicloud_elasticsearch_service_domains_not_publicly_accessible, alicloud_analyticdb_cluster_public_access, alicloud_awslambda_function_inside_vpc, alicloud_dts_instance_no_public_access, alicloud_pai_notebook_instance_without_direct_internet_access_configured, alicloud_oss_bucket_policy_public_write_access, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22, alicloud_oss_bucket_public_write_acl, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports, alicloud_ecs_networkacl_allow_ingress_tcp_port_22, alicloud_ecs_networkacl_allow_ingress_tcp_port_3389, alicloud_ecs_securitygroup_default_restrict_traffic",alicloud.ecs.ebs.public_snapshot_alicloud_rds_instance_no_public_access_alicloud_ack_endpoints_not_publicly_accessible_alicloud_vpc_endpoint_for_ec2_enabled_alicloud_oss_account_level_public_access_blocks_alicloud_awslambda_function_not_publicly_accessible_alicloud_emr_cluster_master_nodes_no_public_ip_alicloud_ecs_instance_public_ip_alicloud_rds_snapshots_public_access_alicloud_elasticsearch_service_domains_not_publicly_accessible_alicloud_analyticdb_cluster_public_access_alicloud_awslambda_function_inside_vpc_alicloud_dts_instance_no_public_access_alicloud_pai_notebook_instance_without_direct_internet_access_configured_alicloud_oss_bucket_policy_public_write_access_alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22_alicloud_oss_bucket_public_write_acl_alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports_alicloud_ecs_networkacl_allow_ingress_tcp_port_22_alicloud_ecs_networkacl_allow_ingress_tcp_port_3389_alicloud_ecs_securitygroup_default_restrict_traffic,high_similarity,0.8626,catalog_similarity,ecs,ebs
"alicloud.ecs.ebs.public_snapshot, alicloud_rds_instance_no_public_access, alicloud_ack_endpoints_not_publicly_accessible, alicloud_vpc_endpoint_for_ec2_enabled, alicloud_oss_account_level_public_access_blocks, alicloud_awslambda_function_not_publicly_accessible, alicloud_emr_cluster_master_nodes_no_public_ip, alicloud_ecs_instance_public_ip, alicloud_rds_snapshots_public_access, alicloud_elasticsearch_service_domains_not_publicly_accessible, alicloud_analyticdb_cluster_public_access, alicloud_awslambda_function_inside_vpc, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22, alicloud_dts_instance_no_public_access, alicloud_pai_notebook_instance_without_direct_internet_access_configured",alicloud.ecs.ebs.public_snapshot_alicloud_rds_instance_no_public_access_alicloud_ack_endpoints_not_publicly_accessible_alicloud_vpc_endpoint_for_ec2_enabled_alicloud_oss_account_level_public_access_blocks_alicloud_awslambda_function_not_publicly_accessible_alicloud_emr_cluster_master_nodes_no_public_ip_alicloud_ecs_instance_public_ip_alicloud_rds_snapshots_public_access_alicloud_elasticsearch_service_domains_not_publicly_accessible_alicloud_analyticdb_cluster_public_access_alicloud_awslambda_function_inside_vpc_alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22_alicloud_dts_instance_no_public_access_alicloud_pai_notebook_instance_without_direct_internet_access_configured,high_similarity,0.8140,catalog_similarity,ecs,ebs
"alicloud.ecs.ebs.public_snapshot, alicloud_rds_instance_no_public_access, alicloud_awslambda_function_not_publicly_accessible, alicloud_rds_snapshots_public_access, alicloud_elasticsearch_service_domains_not_publicly_accessible, alicloud_analyticdb_cluster_public_access, alicloud_oss_bucket_policy_public_write_access, alicloud_awslambda_function_inside_vpc, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22, alicloud_oss_bucket_public_write_acl, alicloud_dts_instance_no_public_access, alicloud_pai_notebook_instance_without_direct_internet_access_configured",alicloud.ecs.ebs.public_snapshot_alicloud_rds_instance_no_public_access_alicloud_awslambda_function_not_publicly_accessible_alicloud_rds_snapshots_public_access_alicloud_elasticsearch_service_domains_not_publicly_accessible_alicloud_analyticdb_cluster_public_access_alicloud_oss_bucket_policy_public_write_access_alicloud_awslambda_function_inside_vpc_alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22_alicloud_oss_bucket_public_write_acl_alicloud_dts_instance_no_public_access_alicloud_pai_notebook_instance_without_direct_internet_access_configured,high_similarity,0.8344,catalog_similarity,ecs,ebs
"alicloud.ecs.ebs.public_snapshot, alicloud_rds_instance_no_public_access, alicloud_ecs_securitygroup_default_restrict_traffic, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports, alicloud_ecs_networkacl_allow_ingress_tcp_port_22, alicloud_awslambda_function_not_publicly_accessible, alicloud_rds_snapshots_public_access, alicloud_elasticsearch_service_domains_not_publicly_accessible, alicloud_analyticdb_cluster_public_access, alicloud_oss_bucket_policy_public_write_access, alicloud_awslambda_function_inside_vpc, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22, alicloud_oss_bucket_public_write_acl, alicloud_dts_instance_no_public_access, alicloud_pai_notebook_instance_without_direct_internet_access_configured, alicloud_ecs_networkacl_allow_ingress_tcp_port_3389",alicloud.ecs.ebs.public_snapshot_alicloud_rds_instance_no_public_access_alicloud_ecs_securitygroup_default_restrict_traffic_alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports_alicloud_ecs_networkacl_allow_ingress_tcp_port_22_alicloud_awslambda_function_not_publicly_accessible_alicloud_rds_snapshots_public_access_alicloud_elasticsearch_service_domains_not_publicly_accessible_alicloud_analyticdb_cluster_public_access_alicloud_oss_bucket_policy_public_write_access_alicloud_awslambda_function_inside_vpc_alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22_alicloud_oss_bucket_public_write_acl_alicloud_dts_instance_no_public_access_alicloud_pai_notebook_instance_without_direct_internet_access_configured_alicloud_ecs_networkacl_allow_ingress_tcp_port_3389,high_similarity,0.8741,catalog_similarity,ecs,ebs
alicloud.ecs.ebs.snapshot_account_block_public_access,alicloud.ecs.ebs.snapshot_account_block_public_access,exact,1.0000,generated,ecs,ebs
alicloud.ecs.ebs.snapshots_encrypted,alicloud.ecs.ebs.snapshots_encrypted,exact,1.0000,generated,ecs,ebs
alicloud.ecs.ebs.volume_encryption,alicloud.ecs.ebs.volume_encryption,exact,1.0000,generated,ecs,ebs
alicloud.ecs.ebs.volume_encryption_enabled,alicloud.ecs.ebs.volume_encryption_enabled,exact,1.0000,generated,ecs,ebs
alicloud.ecs.ebs.volume_protected_by_backup_plan,alicloud.ecs.ebs.volume_protected_by_backup_plan,exact,1.0000,generated,ecs,ebs
alicloud.ecs.ebs.volume_snapshots_exists,alicloud.ecs.ebs.volume_snapshots_exists,exact,1.0000,generated,ecs,ebs
alicloud.ecs.elastic.ip_shodan,alicloud.ecs.elastic.ip_shodan,exact,1.0000,generated,ecs,elastic
alicloud.ecs.elastic.ip_unassigned,alicloud.ecs.elastic.ip_unassigned,exact,1.0000,generated,ecs,elastic
alicloud.ecs.ensure.attached_disks_encrypted_with_cmk,alicloud.ecs.ensure.attached_disks_encrypted_with_cmk,exact,1.0000,generated,ecs,ensure
alicloud.ecs.ensure.unattached_disks_encrypted_with_cmk,alicloud.ecs.ensure.unattached_disks_encrypted_with_cmk,exact,1.0000,generated,ecs,ensure
alicloud.ecs.ensure.using_managed_disks,alicloud.ecs.ensure.using_managed_disks,exact,1.0000,generated,ecs,ensure
alicloud.ecs.firewall.rdp_access_from_the_internet_allowed,alicloud.ecs.firewall.rdp_access_internet_blocked,high_similarity,0.7619,catalog_similarity,ecs,firewall
alicloud.ecs.firewall.ssh_access_from_the_internet_allowed,alicloud.ecs.firewall.ssh_access_internet_blocked,high_similarity,0.7619,catalog_similarity,ecs,firewall
alicloud.ecs.instance.account_imdsv2_enabled,alicloud.ecs.instance.management_enabled,medium_similarity,0.5500,catalog_similarity,ecs,instance
alicloud.ecs.instance.block_project_wide_ssh_keys_disabled,alicloud.ecs.instance.project_wide_ssh_keys_block_enforced,high_similarity,0.7222,catalog_similarity,ecs,instance
alicloud.ecs.instance.confidential_computing_enabled,alicloud.ecs.instance.confidential_computing_enforced,high_similarity,0.8852,catalog_similarity,ecs,instance
alicloud.ecs.instance.default_service_account_in_use_with_full_api_access,alicloud.ecs.instance.default_service_account_in_use_with_full_api_access,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.detailed_monitoring_enabled,alicloud.ecs.instance.detailed_monitoring_mandatory,high_similarity,0.7857,catalog_similarity,ecs,instance
alicloud.ecs.instance.encryption_with_csek_enabled,alicloud.ecs.instance.csek_encryption_at_rest_enabled,high_similarity,0.7458,catalog_similarity,ecs,instance
alicloud.ecs.instance.imdsv2_enabled,alicloud.ecs.instance.imdsv2_mandatory,medium_similarity,0.6000,catalog_similarity,ecs,instance
alicloud.ecs.instance.internet_facing_with_instance_profile,alicloud.ecs.instance.internet_facing_instance_profile_least_privilege,high_similarity,0.7529,catalog_similarity,ecs,instance
alicloud.ecs.instance.ip_forwarding_is_enabled,alicloud.ecs.instance.ip_forwarding_disabled_for_security,high_similarity,0.7119,catalog_similarity,ecs,instance
alicloud.ecs.instance.managed,alicloud.ecs.instance.managed,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.managed_by_ssm,alicloud.ecs.instance.managed_by_ssm,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.network_type_check,alicloud.ecs.instance.network_type_verified,high_similarity,0.7179,catalog_similarity,ecs,instance
alicloud.ecs.instance.no_public_ip,alicloud.ecs.instance.no_public_ip_assigned,high_similarity,0.7273,catalog_similarity,ecs,instance
alicloud.ecs.instance.older_than_specific_days,alicloud.ecs.instance.age_check_older_than_90_days,medium_similarity,0.6154,catalog_similarity,ecs,instance
alicloud.ecs.instance.paravirtual_type,alicloud.ecs.instance.paravirtual_type_deprecated,high_similarity,0.7442,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_cassandra_exposed_to_internet,alicloud.ecs.instance.cassandra_port_internet_blocked,medium_similarity,0.6769,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_cifs_exposed_to_internet,alicloud.ecs.instance.cifs_port_internet_blocked,medium_similarity,0.6182,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_elasticsearch_kibana_exposed_to_internet,alicloud.ecs.instance.elasticsearch_kibana_port_internet_blocked,high_similarity,0.7586,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_ftp_exposed_to_internet,alicloud.ecs.instance.port_ftp_exposed_to_internet,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.port_kafka_exposed_to_internet,alicloud.ecs.instance.kafka_port_internet_blocked,medium_similarity,0.6316,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_kerberos_exposed_to_internet,alicloud.ecs.instance.kerberos_port_internet_blocked,medium_similarity,0.6667,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_ldap_exposed_to_internet,alicloud.ecs.instance.ldap_port_internet_blocked,medium_similarity,0.6182,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_memcached_exposed_to_internet,alicloud.ecs.instance.memcached_port_internet_blocked,medium_similarity,0.6769,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_mongodb_exposed_to_internet,alicloud.ecs.instance.mongodb_port_internet_blocked,medium_similarity,0.6557,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_mysql_exposed_to_internet,alicloud.ecs.instance.mysql_port_internet_blocked,medium_similarity,0.6316,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_oracle_exposed_to_internet,alicloud.ecs.instance.oracle_port_internet_blocked,medium_similarity,0.6441,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_postgresql_exposed_to_internet,alicloud.ecs.instance.postgresql_port_internet_blocked,medium_similarity,0.6866,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_rdp_exposed_to_internet,alicloud.ecs.instance.port_rdp_exposed_to_internet,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.port_redis_exposed_to_internet,alicloud.ecs.instance.redis_port_internet_blocked,medium_similarity,0.6316,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_sqlserver_exposed_to_internet,alicloud.ecs.instance.rds_sqlserver_port_internet_blocked,medium_similarity,0.6957,catalog_similarity,ecs,instance
alicloud.ecs.instance.port_ssh_exposed_to_internet,alicloud.ecs.instance.port_ssh_exposed_to_internet,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.port_telnet_exposed_to_internet,alicloud.ecs.instance.user_data_secrets_exposure_prevented,medium_similarity,0.5075,catalog_similarity,ecs,instance
alicloud.ecs.instance.profile_attached,alicloud.ecs.instance.iam_profile_attached,high_similarity,0.8889,catalog_similarity,ecs,instance
alicloud.ecs.instance.public_ip,alicloud.ecs.instance.public_ip_disabled,medium_similarity,0.6667,catalog_similarity,ecs,instance
alicloud.ecs.instance.secrets_user_data,alicloud.ecs.instance.secrets_user_data,exact,1.0000,generated,ecs,instance
alicloud.ecs.instance.security_center_agent_status_check,alicloud.ecs.instance.security_center_agent_installed_and_active,high_similarity,0.7105,catalog_similarity,ecs,instance
alicloud.ecs.instance.security_enhanced,alicloud.ecs.instance.security_hardening_applied,medium_similarity,0.6512,catalog_similarity,ecs,instance
alicloud.ecs.instance.serial_ports_in_use,alicloud.ecs.instance.serial_ports_disabled_for_security,medium_similarity,0.6415,catalog_similarity,ecs,instance
alicloud.ecs.instance.shielded_vm_enabled,alicloud.ecs.instance.shielded_vm_security_features_enabled,medium_similarity,0.6786,catalog_similarity,ecs,instance
alicloud.ecs.instance.ssh_key_authentication,alicloud.ecs.instance.ssh_key_authentication_mandatory,high_similarity,0.8148,catalog_similarity,ecs,instance
alicloud.ecs.instance.uses_single_eni,alicloud.ecs.instance.uses_single_eni,exact,1.0000,generated,ecs,instance
alicloud.ecs.launch.template_imdsv2_required,alicloud.ecs.launch.template_imdsv2_required,exact,1.0000,generated,ecs,launch
alicloud.ecs.launch.template_no_public_ip,alicloud.ecs.launch.template_no_public_ip,exact,1.0000,generated,ecs,launch
alicloud.ecs.launch.template_no_secrets,alicloud.ecs.launch.template_no_secrets,exact,1.0000,generated,ecs,launch
alicloud.ecs.load_balancer.logging_enabled,alicloud.ecs.load_balancer.logging_enabled,exact,1.0000,generated,ecs,load_balancer
alicloud.ecs.management.compliance,alicloud.ecs.management.compliance,exact,1.0000,generated,ecs,management
alicloud.ecs.network_acl.allow_ingress_any_port,alicloud.ecs.networkacl.allow_ingress_tcp_port_22,high_similarity,0.8085,final_service_match,ecs,network_acl
alicloud.ecs.network_acl.allow_ingress_tcp_port_22,alicloud.ecs.networkacl.allow_ingress_tcp_port_22,exact,1.0000,final_service_match,ecs,network_acl
"alicloud.ecs.network_acl.allow_ingress_tcp_port_22, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports, alicloud_ecs_networkacl_allow_ingress_tcp_port_3389, alicloud_pai_notebook_instance_without_direct_internet_access_configured","alicloud.ecs.networkacl.allow_ingress_tcp_port_22, alicloud_ecs_securitygroup_allow_ingress_from_internet_to_all_ports, alicloud_ecs_networkacl_allow_ingress_tcp_port_3389, alicloud_pai_notebook_instance_without_direct_internet_access_configured",exact,1.0000,final_service_match,ecs,network_acl
