rule_id,current_service,suggested_service,resource,domain,reason,confidence,status,normalized_rule_id,transformation,status_update,azure_expert_corrected,correction_reason
azure.azure.network_customer_gateway.network_cgw_no_public_management_interfaces_exposed,azure,network,network_customer_gateway,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.customer_gateway.cgw_no_public_management_interfaces_exposed,azure → network,NORMALIZED,NO,
azure.azure.network_listener.tls_min_1_2,azure,network,network_listener,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.listener.tls_min_1_2,azure → network,NORMALIZED,NO,
azure.azure.threat_custom_identifier.storage_encrypted,azure,storage,threat_custom_identifier,data_protection_and_privacy,rule_id contains 'storage',high,PENDING_REVIEW,azure.storage.threat_custom_identifier.storage_encrypted,azure → storage,NORMALIZED,NO,
azure.azure.network_interface.network_eni_security_groups_present,azure,network,network_interface,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.interface.eni_security_groups_present,azure → network,NORMALIZED,NO,
azure.azure.streaming_stream_consumer.streaming_consumer_access_least_privilege,azure,event,streaming_stream_consumer,identity_and_access_management,domain is 'identity_and_access_management',high,PENDING_REVIEW,azure.event.event_hub_consumer.streaming_consumer_access_least_privilege,azure → aad,NORMALIZED,YES,"Azure Event Hubs for streaming, not generic streaming"
azure.azure.network_encryption.tls_min_1_2_enforced,azure,network,network_encryption,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.encryption.tls_min_1_2_enforced,azure → network,NORMALIZED,NO,
azure.azure.serverless_function.role_least_privilege,azure,function,serverless_function,identity_and_access_management,resource contains 'function',high,PENDING_REVIEW,azure.function.serverless_function.role_least_privilege,azure → function,NORMALIZED,NO,
azure.azure.logging_sink.destination_encrypted,azure,monitor,logging_sink,data_protection_and_privacy,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_sink.destination_encrypted,azure → monitor,NORMALIZED,NO,
azure.azure.streaming_stream.encryption_at_rest_enabled,azure,event,streaming_stream,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.event.event_hub.encryption_at_rest_enabled,azure → keyvault,NORMALIZED,YES,Azure Event Hubs for event streaming
azure.azure.monitoring_dashboard.public_embeds_disabled,azure,monitor,monitoring_dashboard,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.dashboard.public_embeds_disabled,azure → monitor,NORMALIZED,NO,
azure.azure.network_isolation.automated_isolation_supported,azure,network,network_isolation,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.isolation.automated_isolation_supported,azure → network,NORMALIZED,NO,
azure.azure.threat_ip_set.sources_trusted,azure,security,threat_ip_set,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.threat_ip_set.sources_trusted,azure → security,NORMALIZED,NO,
azure.azure.privacy_rights.execution_roles_least_privilege,azure,purview,privacy_rights,identity_and_access_management,rule_id contains 'role',high,PENDING_REVIEW,azure.purview.data_policy.execution_roles_least_privilege,azure → rbac,NORMALIZED,YES,Microsoft Purview for data governance
azure.azure.platform_api_endpoint.authz_policies_enforced,azure,api,platform_api_endpoint,network_security_and_connectivity,resource contains 'api',high,PENDING_REVIEW,azure.api.api_endpoint.authz_policies_enforced,azure → api,NORMALIZED,YES,Azure API Management
azure.azure.platform_stage.require_usage_plan_for_api_keys,azure,api,platform_stage,data_protection_and_privacy,rule_id contains 'api',high,PENDING_REVIEW,azure.api.api_version.require_usage_plan_for_api_keys,azure → api,NORMALIZED,YES,Azure API Management Version (not AWS API Gateway Stage)
azure.azure.network_interface.network_eni_security_groups_restrictive,azure,network,network_interface,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.interface.eni_security_groups_restrictive,azure → network,NORMALIZED,NO,
azure.azure.registry_policy.supply_chain_no_public_pull_push,azure,policy,registry_policy,identity_and_access_management,resource contains 'policy',high,PENDING_REVIEW,azure.policy.registry_policy.supply_chain_no_public_pull_push,azure → policy,NORMALIZED,NO,
azure.azure.network_segmentation.tier_to_tier_policies_defined,azure,network,network_segmentation,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.segmentation.tier_to_tier_policies_defined,azure → network,NORMALIZED,NO,
azure.azure.paas_lightsail_database.paas_db_public_access_disabled,azure,sql,paas_lightsail_database,identity_and_access_management,resource contains 'database',high,PENDING_REVIEW,azure.sql.paas_lightsail_database.paas_db_public_access_disabled,azure → sql,NORMALIZED,NO,
azure.azure.network_endpoint.policy_least_privilege,azure,network,network_endpoint,identity_and_access_management,resource contains 'network',high,PENDING_REVIEW,azure.network.endpoint.policy_least_privilege,azure → network,NORMALIZED,NO,
azure.azure.streaming_stream.consumer_auth_required,azure,event,streaming_stream,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.event.event_hub.consumer_auth_required,azure → security,NORMALIZED,YES,Azure Event Hubs for event streaming
azure.azure.monitoring_alert.critical_alarms_enabled,azure,monitor,monitoring_alert,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.alert.critical_alarms_enabled,azure → monitor,NORMALIZED,NO,
azure.azure.secrets_store.kms_encryption_enabled,azure,keyvault,secrets_store,data_protection_and_privacy,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_store.kms_encryption_enabled,azure → keyvault,NORMALIZED,NO,
azure.azure.logging_store.immutability_or_object_lock_where_supported,azure,monitor,logging_store,logging_monitoring_and_alerting,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_store.immutability_or_object_lock_where_supported,azure → monitor,NORMALIZED,NO,
azure.azure.network_traffic_analysis.alert_destinations_configured,azure,network,network_traffic_analysis,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.traffic_analysis.alert_destinations,azure → network,NORMALIZED,NO,
azure.azure.serverless_function.env_no_plaintext_secrets,azure,function,serverless_function,compute_and_workload_security,resource contains 'function',high,PENDING_REVIEW,azure.function.serverless_function.env_no_plaintext_secrets,azure → function,NORMALIZED,NO,
azure.azure.vulnerability_maintenance.vuln_maintenance_execution_roles_least_privilege,azure,rbac,vulnerability_maintenance,identity_and_access_management,rule_id contains 'role',high,PENDING_REVIEW,azure.rbac.vulnerability_maintenance.vuln_maintenance_execution_roles_least_privilege,azure → rbac,NORMALIZED,NO,
azure.azure.paas_lightsail_instance.paas_instance_no_public_ip_unless_required,azure,compute,paas_lightsail_instance,identity_and_access_management,resource contains 'instance',high,PENDING_REVIEW,azure.compute.paas_lightsail_instance.paas_instance_no_public_ip_unless_required,azure → compute,NORMALIZED,NO,
azure.azure.network_firewall.rule_groups_attached,azure,network,network_firewall,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.firewall.rule_groups_attached,azure → network,NORMALIZED,NO,
azure.azure.network_automation.change_audit_logging_enabled,azure,network,network_automation,logging_monitoring_and_alerting,resource contains 'network',high,PENDING_REVIEW,azure.network.automation.change_audit_logging_enabled,azure → network,NORMALIZED,NO,
azure.azure.streaming_video_stream.streaming_video_encryption_in_transit_required,azure,data,streaming_video_stream,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.data.media_stream.streaming_video_encryption_in_transit_required,azure → keyvault,NORMALIZED,YES,Azure Media Services for video streaming
azure.azure.serverless_function.vpc_private_networking_enabled,azure,function,serverless_function,network_security_and_connectivity,resource contains 'function',high,PENDING_REVIEW,azure.function.serverless_function.vpc_private_networking_enabled,azure → function,NORMALIZED,NO,
azure.azure.network_automation.remediation_roles_least_privilege,azure,network,network_automation,identity_and_access_management,resource contains 'network',high,PENDING_REVIEW,azure.network.automation.remediation_roles_least_privilege,azure → network,NORMALIZED,NO,
azure.azure.network_anomaly_detection.network_anomaly_destinations_encrypted,azure,network,network_anomaly_detection,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.anomaly_detection.anomaly_destinations_encrypted,azure → network,NORMALIZED,NO,
azure.azure.privacy_consent.store_encrypted,azure,keyvault,privacy_consent,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.keyvault.privacy_consent.store_encrypted,azure → keyvault,NORMALIZED,NO,
azure.azure.dr_plan.resilience_change_audit_logging_enabled,azure,backup,dr_plan,logging_monitoring_and_alerting,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.recovery_plan.resilience_change_audit_logging_enabled,azure → backup,NORMALIZED,YES,Azure Site Recovery plan
azure.azure.serverless_event_source.permissions_least_privilege,azure,aad,serverless_event_source,identity_and_access_management,domain is 'identity_and_access_management',high,PENDING_REVIEW,azure.aad.serverless_event_source.permissions_least_privilege,azure → aad,NORMALIZED,NO,
azure.azure.privacy_masking.policies_present_for_sensitive_fields,azure,purview,privacy_masking,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.purview.data_masking.policies_present_for_sensitive_fields,azure → security,NORMALIZED,YES,Microsoft Purview data masking
azure.azure.monitoring_trace.store_encrypted,azure,monitor,monitoring_trace,data_protection_and_privacy,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.trace.store_encrypted,azure → monitor,NORMALIZED,NO,
azure.azure.serverless_function.logging_and_tracing_enabled,azure,function,serverless_function,logging_monitoring_and_alerting,resource contains 'function',high,PENDING_REVIEW,azure.function.serverless_function.logging_and_tracing_enabled,azure → function,NORMALIZED,NO,
azure.azure.logging_query_definition.access_rbac_least_privilege,azure,monitor,logging_query_definition,identity_and_access_management,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_query_definition.access_rbac_least_privilege,azure → monitor,NORMALIZED,NO,
azure.azure.network_vpc.dns_hostnames_and_support_configured,azure,network,network_vpc,network_security_and_connectivity,resource contains 'vpc',high,PENDING_REVIEW,azure.network.virtual_network.dns_hostnames_and_support,azure → network,NORMALIZED,YES,"Azure Virtual Network (VNet), not AWS VPC"
azure.azure.registry_replication_config.supply_chain_registry_replication_destinations_least_privilege,azure,containerregistry,registry_replication_config,identity_and_access_management,domain is 'identity_and_access_management',high,PENDING_REVIEW,azure.containerregistry.replication.supply_chain_registry_replication_destinations_least_privilege,azure → aad,NORMALIZED,YES,Azure Container Registry replication
azure.azure.platform_stage.throttling_enabled,azure,api,platform_stage,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.api.api_version.throttling_enabled,azure → security,NORMALIZED,YES,Azure API Management Version (not AWS API Gateway Stage)
azure.azure.threat_ip_set.storage_encrypted,azure,storage,threat_ip_set,data_protection_and_privacy,rule_id contains 'storage',high,PENDING_REVIEW,azure.storage.threat_ip_set.storage_encrypted,azure → storage,NORMALIZED,NO,
azure.azure.streaming_firehose.destination_encrypted,azure,data,streaming_firehose,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.data.stream_analytics.destination_encrypted,azure → keyvault,NORMALIZED,YES,"Azure Stream Analytics, not AWS Kinesis Firehose"
azure.azure.logging_store.encryption_at_rest_cmek,azure,monitor,logging_store,data_protection_and_privacy,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_store.encryption_at_rest_cmek,azure → monitor,NORMALIZED,NO,
azure.azure.monitoring_alert.alarm_actions_configured,azure,monitor,monitoring_alert,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.alert.alarm_actions,azure → monitor,NORMALIZED,NO,
azure.azure.secrets_store.rotation_enabled_for_rotatable_secrets,azure,keyvault,secrets_store,secrets_and_key_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_store.rotation_enabled_for_rotatable_secrets,azure → keyvault,NORMALIZED,NO,
azure.azure.streaming_video_stream.streaming_video_retention_days_minimum_configured,azure,data,streaming_video_stream,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.data.media_stream.streaming_video_retention_days_minimum,azure → security,NORMALIZED,YES,Azure Media Services for video streaming
azure.azure.privacy_anonymization.jobs_private_networking,azure,network,privacy_anonymization,network_security_and_connectivity,rule_id contains 'network',high,PENDING_REVIEW,azure.network.privacy_anonymization.jobs_private_networking,azure → network,NORMALIZED,NO,
azure.azure.crypto_grant.secrets_kms_grant_constraints_present,azure,keyvault,crypto_grant,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.grant.kms_grant_constraints_present,azure → keyvault,NORMALIZED,NO,
azure.azure.network_access_control.policies_present,azure,network,network_access_control,identity_and_access_management,resource contains 'network',high,PENDING_REVIEW,azure.network.access_control.policies_present,azure → network,NORMALIZED,NO,
azure.azure.dr_job.resilience_network_private_only,azure,backup,dr_job,network_security_and_connectivity,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.backup_job.resilience_network_private_only,azure → backup,NORMALIZED,YES,Azure Backup/Recovery job
azure.azure.platform_authorizer.tls_min_1_2_enforced,azure,api,platform_authorizer,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.api.authorization_policy.tls_min_1_2_enforced,azure → security,NORMALIZED,YES,Azure API Management Authorization Policy
azure.azure.logging_log_stream.logging_stream_encryption_at_rest_enabled,azure,monitor,logging_log_stream,data_protection_and_privacy,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_log_stream.logging_stream_encryption_at_rest_enabled,azure → monitor,NORMALIZED,NO,
azure.azure.threat_hub.master_member_configured,azure,security,threat_hub,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.threat_hub.master_member,azure → security,NORMALIZED,NO,
azure.azure.dr_plan.resilience_approvals_required_for_changes,azure,backup,dr_plan,resilience_and_disaster_recovery,resource contains 'dr_',high,PENDING_REVIEW,azure.backup.recovery_plan.resilience_approvals_required_for_changes,azure → backup,NORMALIZED,YES,Azure Site Recovery plan
azure.azure.registry_repo.supply_chain_private_or_access_restricted,azure,containerregistry,registry_repo,network_security_and_connectivity,scope contains 'network',high,PENDING_REVIEW,azure.containerregistry.repository.supply_chain_private_or_access_restricted,azure → network,NORMALIZED,YES,Azure Container Registry repository
azure.azure.network_subnet.public_subnets_use_nacl_restrictions,azure,network,network_subnet,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.subnet.public_subnets_use_nacl_restrictions,azure → network,NORMALIZED,NO,
azure.azure.secrets_store.access_rbac_least_privilege,azure,keyvault,secrets_store,identity_and_access_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_store.access_rbac_least_privilege,azure → keyvault,NORMALIZED,NO,
azure.azure.serverless_layer.version_immutable,azure,security,serverless_layer,compute_and_workload_security,scope contains 'security',high,PENDING_REVIEW,azure.security.serverless_layer.version_immutable,azure → security,NORMALIZED,NO,
azure.azure.registry_repo.supply_chain_registry_immutable_tags_or_signing_enforced,azure,containerregistry,registry_repo,container_and_kubernetes_security,scope contains 'security',high,PENDING_REVIEW,azure.containerregistry.repository.supply_chain_registry_immutable_tags_or_signing_enforced,azure → security,NORMALIZED,YES,Azure Container Registry repository
azure.azure.network_subnet.private_subnets_no_igw_route,azure,network,network_subnet,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.subnet.private_subnets_no_igw_route,azure → network,NORMALIZED,NO,
azure.azure.logging_sink.destination_least_privilege,azure,monitor,logging_sink,logging_monitoring_and_alerting,resource contains 'log',high,PENDING_REVIEW,azure.monitor.logging_sink.destination_least_privilege,azure → monitor,NORMALIZED,NO,
azure.azure.monitoring_dashboard.sso_required,azure,monitor,monitoring_dashboard,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.dashboard.sso_required,azure → monitor,NORMALIZED,NO,
azure.azure.privacy_encryption.at_rest_cmek_enabled,azure,security,privacy_encryption,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.security.privacy_encryption.at_rest_cmek_enabled,azure → security,NORMALIZED,NO,
azure.azure.platform_api_endpoint.authn_required,azure,api,platform_api_endpoint,network_security_and_connectivity,resource contains 'api',high,PENDING_REVIEW,azure.api.api_endpoint.authn_required,azure → api,NORMALIZED,YES,Azure API Management
azure.azure.monitoring_trace.access_rbac_least_privilege,azure,monitor,monitoring_trace,identity_and_access_management,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.trace.access_rbac_least_privilege,azure → monitor,NORMALIZED,NO,
azure.azure.vulnerability_automation.vuln_automation_change_audit_logging_enabled,azure,monitor,vulnerability_automation,logging_monitoring_and_alerting,rule_id contains 'log',high,PENDING_REVIEW,azure.monitor.vulnerability_automation.vuln_automation_change_audit_logging_enabled,azure → monitor,NORMALIZED,NO,
azure.azure.paas_lightsail_instance.paas_instance_disk_encrypted,azure,compute,paas_lightsail_instance,data_protection_and_privacy,resource contains 'instance',high,PENDING_REVIEW,azure.compute.paas_lightsail_instance.paas_instance_disk_encrypted,azure → compute,NORMALIZED,NO,
azure.azure.network_security_group.network_sg_only_required_ports_open,azure,network,network_security_group,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.security_group.sg_only_required_ports_open,azure → network,NORMALIZED,NO,
azure.azure.streaming_analytics_application.streaming_analytics_checkpoints_and_outputs_encrypted,azure,data,streaming_analytics_application,data_protection_and_privacy,domain is 'data_protection_and_privacy',high,PENDING_REVIEW,azure.data.stream_analytics_job.streaming_analytics_checkpoints_and_outputs_encrypted,azure → keyvault,NORMALIZED,YES,Azure Stream Analytics service
azure.azure.network_segmentation.exception_approvals_required,azure,network,network_segmentation,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.segmentation.exception_approvals_required,azure → network,NORMALIZED,NO,
azure.azure.streaming_firehose.destination_least_privilege,azure,data,streaming_firehose,identity_and_access_management,domain is 'identity_and_access_management',high,PENDING_REVIEW,azure.data.stream_analytics.destination_least_privilege,azure → aad,NORMALIZED,YES,"Azure Stream Analytics, not AWS Kinesis Firehose"
azure.azure.dr_recovery_instance.resilience_recovery_instance_private_network_only,azure,backup,dr_recovery_instance,network_security_and_connectivity,resource contains 'instance',high,PENDING_REVIEW,azure.backup.recovery_point.resilience_recovery_instance_private_network_only,azure → compute,NORMALIZED,YES,Azure recovery point
azure.azure.privacy_encryption.in_transit_tls_min_1_2,azure,security,privacy_encryption,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.security.privacy_encryption.in_transit_tls_min_1_2,azure → security,NORMALIZED,NO,
azure.azure.threat_ip_set.used_by_detectors,azure,security,threat_ip_set,compliance_and_governance,scope contains 'security',high,PENDING_REVIEW,azure.security.threat_ip_set.used_by_detectors,azure → security,NORMALIZED,NO,
azure.azure.crypto_alias.secrets_alias_alias_points_to_active_key,azure,keyvault,crypto_alias,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.alias.alias_alias_points_to_active_key,azure → keyvault,NORMALIZED,NO,
azure.azure.monitoring_sampling_rule.rules_present,azure,monitor,monitoring_sampling_rule,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.sampling_rule.rules_present,azure → monitor,NORMALIZED,NO,
azure.azure.registry_policy.supply_chain_no_wildcard_admin,azure,policy,registry_policy,identity_and_access_management,resource contains 'policy',high,PENDING_REVIEW,azure.policy.registry_policy.supply_chain_no_wildcard_admin,azure → policy,NORMALIZED,NO,
azure.azure.paas_app.tls_min_1_2_enforced,azure,security,paas_app,data_protection_and_privacy,scope contains 'security',high,PENDING_REVIEW,azure.security.paas_app.tls_min_1_2_enforced,azure → security,NORMALIZED,NO,
azure.azure.serverless_version.rollforward_rollback_controls_present,azure,function,serverless_version,compute_and_workload_security,scope contains 'security',high,PENDING_REVIEW,azure.function.function_version.rollforward_rollback_controls_present,azure → security,NORMALIZED,YES,"Azure Functions, not generic serverless"
azure.azure.crypto_grant.secrets_kms_grant_grantee_principal_valid,azure,keyvault,crypto_grant,secrets_and_key_management,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.grant.kms_grant_grantee_principal_valid,azure → keyvault,NORMALIZED,NO,
azure.azure.monitoring_anomaly_detector.monitoring_anomaly_detectors_enabled,azure,monitor,monitoring_anomaly_detector,logging_monitoring_and_alerting,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.anomaly_detector.anomaly_detectors_enabled,azure → monitor,NORMALIZED,NO,
azure.azure.network_vpn_connection.network_vpn_ike_phase_encryption_strong,azure,network,network_vpn_connection,data_protection_and_privacy,resource contains 'network',high,PENDING_REVIEW,azure.network.vpn_connection.vpn_ike_phase_encryption_strong,azure → network,NORMALIZED,NO,
azure.azure.mlops_monitoring.ml_ops_monitoring_outputs_encrypted_and_private,azure,machine,mlops_monitoring,data_protection_and_privacy,resource contains 'monitoring',high,PENDING_REVIEW,azure.machine.ml_workspace.ml_ops_monitoring_outputs_encrypted_and_private,azure → monitor,NORMALIZED,YES,"Azure Machine Learning Workspace, not Monitor"
azure.azure.crypto_private_ca.secrets_private_ca_path_length_constraints_set,azure,keyvault,crypto_private_ca,network_security_and_connectivity,resource contains 'crypto',high,PENDING_REVIEW,azure.keyvault.private_ca.private_ca_path_length_constraints_set,azure → keyvault,NORMALIZED,NO,
azure.azure.monitoring_sampling_rule.access_rbac_least_privilege,azure,monitor,monitoring_sampling_rule,identity_and_access_management,resource contains 'monitoring',high,PENDING_REVIEW,azure.monitor.sampling_rule.access_rbac_least_privilege,azure → monitor,NORMALIZED,NO,
azure.azure.secrets_secret.no_plaintext_exposed_in_policy_or_tags,azure,keyvault,secrets_secret,identity_and_access_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_secret.no_plaintext_exposed_in_policy_or_tags,azure → keyvault,NORMALIZED,NO,
azure.azure.secrets_secret.rotation_configured_where_applicable,azure,keyvault,secrets_secret,secrets_and_key_management,resource contains 'secrets',high,PENDING_REVIEW,azure.keyvault.secrets_secret.rotation_where_applicable,azure → keyvault,NORMALIZED,NO,
azure.azure.serverless_layer.source_trusted,azure,security,serverless_layer,compute_and_workload_security,scope contains 'security',high,PENDING_REVIEW,azure.security.serverless_layer.source_trusted,azure → security,NORMALIZED,NO,
azure.azure.network_isolation.quarantine_network_defined,azure,network,network_isolation,network_security_and_connectivity,resource contains 'network',high,PENDING_REVIEW,azure.network.isolation.quarantine_network_defined,azure → network,NORMALIZED,NO,
azure.active.directory_app_registration.identity_access_oidc_token_lifetime_reasonable,active,aad,directory_app_registration,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.app_registration.access_oidc_token_lifetime_reasonable,active → aad,NORMALIZED,NO,
azure.active.directory_user.identity_access_user_console_password_present_only_if_required,active,aad,directory_user,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.user.access_user_console_password_present_only_if_required,active → aad,NORMALIZED,NO,
azure.active.directory_user.identity_access_user_no_inline_policies_attached,active,aad,directory_user,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.user.access_user_no_inline_policies_attached,active → aad,NORMALIZED,NO,
azure.active.directory_tenant.identity_access_password_policy_require_upper_lower_number_special,active,aad,directory_tenant,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.directory_tenant.access_password_policy_require_upper_lower_number_special,active → aad,NORMALIZED,NO,
"azure.active.directory.password.policy.reuse.24,.azure.devops.project.no.secrets.in.variables,.azure.devops.project.source.repo.url.no.sensitive.credentials,.azure.storage.bucket.enforces.ssl,.azure.load.balancer.ssl.listeners,.azure.search.service.domains.node.to.node.encryption.enabled,.azure.load.balancer.ssl.listeners,.azure.compute.ebs.default.encryption,.azure.sql.instance.storage.encrypted,.azure.machine.learning.notebook.instance.encryption.enabled,.azure.storage.bucket.default.encryption,.azure.files.encryption.at.rest.enabled,.azure.search.service.domains.encryption.at.rest.enabled,.azure.compute.ebs.volume.encryption,.azure.storage.bucket.kms.encryption,.azure.aks.cluster.kms.cmk.encryption.in.secrets.enabled,.azure.sql.snapshots.encrypted,.azure.cosmos.db.accelerator.cluster.encryption.enabled,.azure.cosmos.db.table.encryption.enabled,.azure.monitor.kms.encryption.enabled,.azure.monitor.log.group.kms.encryption.enabled,.azure.notification.hubs.topics.kms.encryption.at.rest.enabled,.azure.cosmos.db.tables.kms.cmk.encryption.enabled,.azure.synapse.cluster.audit.logging",active,aad,directory,data_protection_and_privacy,resource contains 'directory',high,PENDING_REVIEW,"azure.aad.directory.password_policy_reuse_24,_azure_devops_project_no_secrets_in_variables_c87043e4",active → aad,NORMALIZED,NO,
azure.active.directory_tenant.identity_access_password_policy_prevent_reuse_last_24,active,aad,directory_tenant,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.directory_tenant.access_password_policy_prevent_reuse_last_24,active → aad,NORMALIZED,NO,
azure.active.directory_tenant.identity_access_tenant_password_policy_compliant,active,aad,directory_tenant,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.directory_tenant.access_tenant_password_policy_compliant,active → aad,NORMALIZED,NO,
azure.active.directory_enterprise_application.identity_access_saml_audience_restriction_configured,active,aad,directory_enterprise_application,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.enterprise_application.access_saml_audience_restriction,active → aad,NORMALIZED,NO,
azure.active.directory_user.identity_access_user_in90_days_disabled,active,aad,directory_user,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.user.access_user_in90_days_disabled,active → aad,NORMALIZED,NO,
azure.active.directory_tenant.identity_access_password_policy_min_length_14,active,aad,directory_tenant,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.directory_tenant.access_password_policy_min_length_14,active → aad,NORMALIZED,NO,
azure.active.directory_tenant.identity_access_tenant_break_glass_accounts_mfa_enforced,active,aad,directory_tenant,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.directory_tenant.access_tenant_break_glass_accounts_mfa_enforced,active → aad,NORMALIZED,NO,
azure.active.directory_group.identity_access_group_attached_policies_not_admin_star,active,aad,directory_group,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.group.access_group_attached_policies_not_admin_star,active → aad,NORMALIZED,NO,
azure.active.directory_enterprise_application.identity_access_saml_certificates_not_expired,active,aad,directory_enterprise_application,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.enterprise_application.access_saml_certificates_not_expired,active → aad,NORMALIZED,NO,
azure.active.directory_user.identity_access_user_access_keys_rotated_90_days_or_less_when_present,active,aad,directory_user,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.user.access_user_access_keys_rotated_90_days_or_less_when_present,active → aad,NORMALIZED,NO,
azure.active.directory_group.identity_access_group_no_inline_policies,active,aad,directory_group,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.group.access_group_no_inline_policies,active → aad,NORMALIZED,NO,
azure.active.directory_app_registration.identity_access_oidc_allowed_client_ids_audiences_restricted,active,aad,directory_app_registration,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.app_registration.access_oidc_allowed_client_ids_audiences_restricted,active → aad,NORMALIZED,NO,
azure.active.directory_enterprise_application.identity_access_saml_idp_metadata_signed,active,aad,directory_enterprise_application,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.enterprise_application.access_saml_idp_metadata_signed,active → aad,NORMALIZED,NO,
azure.active.directory_group.identity_access_group_membership_review_enabled_where_supported,active,aad,directory_group,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.group.access_group_membership_review_enabled_where_supported,active → aad,NORMALIZED,NO,
azure.active.directory_enterprise_application.identity_access_saml_assertion_lifetime_reasonable,active,aad,directory_enterprise_application,identity_and_access_management,resource contains 'directory',high,PENDING_REVIEW,azure.aad.enterprise_application.access_saml_assertion_lifetime_reasonable,active → aad,NORMALIZED,NO,
