rule_id,current_var,proposed_var,changed
alicloud.api.minimum.tls_version_12,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,no
alicloud.api.stage.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.api.stage.throttling_enabled,id exists ,status equals Active,YES
alicloud.api.usage_plan.rate_limits_configured,id exists ,status equals Active,YES
alicloud.apigateway.api.access_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.apigateway.fileshare.encryption_enabled,encrypted equals + logging_enabled equals,encrypted equals + logging_enabled equals,no
alicloud.apigateway.restapi.cache_encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.apigateway.restapi.client_certificate_required,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.apigateway.restapi.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.apigateway.restapi.public,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.apigateway.restapi.public_access_detected,public_ip_address exists ,public_ip_address exists ,no
alicloud.apigateway.restapi_access_logging_enabled_90_day_retention.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.apikeys.api.restrictions_configured,permissions not_contains *,permissions not_contains *,no
alicloud.apikeys.key.rotated_in_90_days,id exists ,status equals Active,YES
alicloud.arms.api.monitoring_api_access_log_fields_identity_present,id exists ,logging_enabled equals true,YES
alicloud.arms.api.monitoring_api_access_log_sink_configured,id exists ,logging_enabled equals true,YES
alicloud.arms.api.monitoring_api_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.arms.ml.monitoring_logs_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.arms.ml.monitoring_outputs_encrypted_and_private,encrypted equals true,encrypted equals true,no
alicloud.arms.ml.monitoring_private_networking_enforced,id exists ,internet_facing not_equals true,YES
alicloud.arms.ml.monitoring_roles_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.arms.tracing_analysis.trace_access_rbac_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.arms.tracing_analysis.trace_store_encrypted,encrypted equals + logging_enabled equals,encrypted equals + logging_enabled equals,no
alicloud.arms.tracing_sampling_rule.sampling_rule_access_rbac_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.arms.tracing_sampling_rule.sampling_rule_storage_encrypted,encrypted equals true,encrypted equals true,no
alicloud.bss.categories.access_billing_admins_mfa_required,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.bss.categories.access_billing_console_rbac_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.bss.categories.access_cost_data_exports_private_and_encrypted,encrypted equals true,encrypted equals true,no
alicloud.bss.categories.access_cost_export_destinations_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.bss.cost.budget_modify_permissions_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.bss.document.secrets,id exists ,permissions not_contains *,YES
alicloud.bss.documents.set_as_public,id exists ,internet_facing not_equals true,YES
alicloud.bss.ecs.regular_backups_configured,backup_enabled equals true,backup_enabled equals true,no
alicloud.bss.encryption_at_rest_enabled.configured,encrypted equals true,encrypted equals true,no
alicloud.bss.instances.reservation_billing_admins_mfa_required,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.bss.instances.reservation_purchase_permissions_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.bss.managed.compliant_patching,id exists ,status equals Active,YES
alicloud.bss.plans.properly_configured,id exists ,backup_enabled equals true,YES
alicloud.bss.plans.retention_90_days_minimum,id exists ,backup_enabled equals true,YES
alicloud.bss.plans.savings_plan_billing_admins_mfa_required,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.bss.plans_configured_and_active.configured,id exists ,backup_enabled equals true,YES
alicloud.bss.queues.not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.bss.queues.server_side_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.bss.recovery_point.encryption_at_rest_enabled,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.bss.recovery_point.retention_90_days_minimum,id exists ,backup_enabled equals true,YES
alicloud.bss.recovery_point_encryption_at_rest_enabled.configured,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.bss.reportplans_configured_and_active.configured,id exists ,backup_enabled equals true,YES
alicloud.bss.snapshot.encryption,encrypted equals true,encrypted equals true,no
alicloud.bss.tls_via_cas_kms.encryption_mtls_required_for_internal_services_where_supported,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,no
alicloud.bss.tls_via_cas_kms.encryption_tls_min_1_2_enforced,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,no
alicloud.bss.topics.kms_encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.bss.topics.not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.bss.vault.encryption_at_rest_enabled,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.bss.vaults.encryption_at_rest_enabled,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.bss.vaults_configured_and_access_controlled.configured,backup_enabled equals true,backup_enabled equals true,no
alicloud.bss.volume.backup_configured,backup_enabled equals true,backup_enabled equals true,no
alicloud.cas.cas.certificate_key_length_minimum,encrypted equals + min_tls_version gte,encrypted equals + min_tls_version gte,no
alicloud.cas.cas.certificate_not_expired,encrypted equals true,encrypted equals true,no
alicloud.cas.cas.certificate_trusted_issuer,id exists ,status equals Active,YES
alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,encrypted equals + permissions not_contains,encrypted equals + permissions not_contains,no
alicloud.cas.cas_private_ca.private_ca_ca_key_in_hsm_where_supported,id exists ,status equals Active,YES
alicloud.cas.cas_private_ca.private_ca_crl_or_ocsp_configured,id exists ,status equals Active,YES
alicloud.cas.certificate.expiration,id exists ,status equals Active,YES
alicloud.cas.certificates.expiration_check,encrypted equals true,encrypted equals true,no
alicloud.cas.certificates.expiration_check_alicloud_alb_ssl_listeners_alicloud_slb_ssl_listeners_alicloud_cdn_distributions_using_deprecated_ssl_protocols,min_tls_version gte 1.2,min_tls_version gte 1.2,no
alicloud.cas.certificates.expiration_check_alicloud_oss_bucket_enforces_ssl_alicloud_alb_ssl_listeners_alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled_alicloud_slb_ssl_listeners_alicloud_elasticsearch_service_domains_https_communica,encrypted equals + logging_enabled equals + ssl_enabled equals,ssl_enabled equals + min_tls_version gte,YES
alicloud.cas.certificates.not_expired_and_valid,encrypted equals true,encrypted equals true,no
alicloud.cas.kubernetes.cluster_confidential_computing_enabled,id exists ,status equals Active,YES
alicloud.cas.kubernetes_cluster.confidential_computing_enforced,id exists ,status equals Active,YES
alicloud.cen.network.eni_security_groups_present,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,no
alicloud.cen.network.eni_security_groups_restrictive,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,no
alicloud.cdn.cache_policy.no_sensitive_headers_cached,id exists ,permissions not_contains *,YES
alicloud.cdn.cloudfront.https_enforced,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,no
alicloud.cdn.dcdn.cdn_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cdn.dcdn.cdn_cache_key_excludes_sensitive_headers,id exists ,permissions not_contains *,YES
alicloud.cdn.dcdn.cdn_hsts_enabled,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.cdn.dcdn.cdn_https_only_viewer_protocol,ssl_enabled equals true,ssl_enabled equals true,no
alicloud.cdn.dcdn.cdn_origin_access_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.cdn.dcdn.cdn_signed_urls_or_headers_required_for_private_content,id exists ,permissions not_contains *,YES
alicloud.cdn.dcdn.cdn_tls_min_1_2_enforced,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,no
alicloud.cdn.dcdn.cdn_valid_trusted_certificate_attached,encrypted equals true,encrypted equals true,no
alicloud.cdn.dcdn.cdn_waf_web_acl_attached,id exists ,status equals Active,YES
alicloud.cdn.distribution.custom_ssl_certificate_valid,id exists ,ssl_enabled equals true,YES
alicloud.cdn.distribution.logging_enabled_90_day_retention,logging_enabled equals true,logging_enabled equals true,no
alicloud.cdn.distribution.origin_traffic_encrypted_tls1_2_or_higher,encrypted equals + min_tls_version gte,encrypted equals + min_tls_version gte,no
alicloud.cdn.distribution.tls1_2_or_higher_enforced,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,no
alicloud.cdn.domain.custom_ssl_certificate,id exists ,ssl_enabled equals true,YES
alicloud.cdn.domain.field_level_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.cdn.domain.https_enabled,encrypted equals true,encrypted equals true,no
alicloud.cdn.domain.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cdn.domain.multiple_origin_failover_configured,id exists ,status equals Active,YES
alicloud.cdn.domain.origin_traffic_encrypted,encrypted equals true,encrypted equals true,no
alicloud.cdn.domain.using_deprecated_ssl_protocols,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,no
alicloud.cdn.edge.cache_policy_no_sensitive_headers_cached,id exists ,permissions not_contains *,YES
alicloud.cdn.edge.cache_policy_respects_cache_control_no_store_private,id exists ,permissions not_contains *,YES
alicloud.cdn.origin.origin_request_policy_no_secret_headers_forwarded,id exists ,permissions not_contains *,YES
alicloud.cfw.ipset.ip_set_cidrs_valid_and_minimized,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.cfw.ipset.ip_set_cross_account_sharing_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.cfw.microsegmentation.microseg_endpoint_policies_applied,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.cfw.microsegmentation.microseg_identity_aware_policies_enabled,id exists ,permissions not_contains *,YES
alicloud.cfw.network.firewall_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cfw.network.firewall_no_permit_any_any,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.cfw.policy.access_control_no_permit_all,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.cfw.policy.access_control_policies_present,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.cfw.policy.access_control_policy_store_encrypted,encrypted equals true,encrypted equals true,no
alicloud.cfw.threat_analysis.anomaly_destinations_encrypted,encrypted equals true,encrypted equals true,no
alicloud.cfw.threat_analysis.anomaly_detectors_enabled,logging_enabled equals true,status equals Active,YES
alicloud.cfw.traffic_analysis.alert_destinations_configured,id exists ,logging_enabled equals true,YES
alicloud.cfw.traffic_analysis.ids_ips_enabled_where_supported,logging_enabled equals true,status equals Active,YES
alicloud.cfw.waf_ip_sets.ip_set_sources_trusted,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.cfw.waf_ip_sets.ip_set_storage_encrypted,encrypted equals true,encrypted equals true,no
alicloud.cloudfw.deployed_across_all_vpcs.configured,id exists ,vpc_id exists ,YES
alicloud.cloudfw.in.all_vpc,id exists ,vpc_id exists ,YES
alicloud.cloudfw.instance.automated_backups,backup_enabled equals true,backup_enabled equals true,no
alicloud.cloudfw.instance.postgres_log_connections_flag,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudfw.instance.postgres_log_disconnections_flag,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudfw.instance.postgres_log_error_verbosity_flag,id exists ,logging_enabled equals true,YES
alicloud.cloudfw.instance.postgres_log_min_duration_statement_flag,id exists ,logging_enabled equals true,YES
alicloud.cloudfw.instance.postgres_log_min_error_statement_flag,id exists ,logging_enabled equals true,YES
alicloud.cloudfw.instance.postgres_log_min_messages_flag,id exists ,logging_enabled equals true,YES
alicloud.cloudfw.instance.postgres_log_statement_flag,id exists ,logging_enabled equals true,YES
alicloud.cloudfw.instance.public_access,permissions not_contains *,permissions not_contains *,no
alicloud.cloudfw.instance.public_ip,id exists ,internet_facing not_equals true,YES
alicloud.cloudfw.instance.ssl_connections,encrypted equals true,encrypted equals true,no
alicloud.cloudfw.log.analysis_status_check,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudfw.logging.enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudfw.logging_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudfw.logging_enabled_for_all_traffic.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudfw.multi.az,id exists ,status equals Active,YES
alicloud.cloudfw.multi_az_with_auto_scaling.configured,id exists ,status equals Active,YES
alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.alarm.cpu_utilization_threshold_set,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alarm.memory_utilization_threshold_set,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alarm.thresholds_configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.nsg_creation_update_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.nsg_deletion_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.policy_assignment_creation_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.policy_assignment_deletion_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.public_ip_rule_change_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.public_ip_rule_deletion_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.rds_sqlserver_firewall_rule_change_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alert.rds_sqlserver_firewall_rule_deletion_logged,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alerts.security_solution_creation_update_monitored,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.alerts.security_solution_deletion_monitored,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.config_changes_log_metric_filter_and_alarm_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.diagnostic_settings.categories_appropriately_configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.diagnostic_settings_presence_verified.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.log.metric_filter_and_alarm_for_actiontrail_changes_with_90_day_retention,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log.metric_filter_and_alert_for_oss_bucket_policy_changes,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_group.kms_encryption_at_rest_enabled,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,no
alicloud.cloudmonitor.log_group.no_secrets_in_logs_with_access_control,id exists ,permissions not_contains *,YES
alicloud.cloudmonitor.log_group.not_publicly_accessible_with_encryption_enabled,encrypted equals + public_ip_address not_exists + internet_facing not_equals + logging_enabled equals,encrypted equals + public_ip_address not_exists + internet_facing not_equals + logging_enabled equals,no
alicloud.cloudmonitor.log_group.retention_90_days,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_group_kms_cmk_encryption_at_rest_enabled.configured,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,no
alicloud.cloudmonitor.log_group_retention_policy_90_days_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.log_metric_filter.organizations_changes_with_alerting,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_metric_filter_and_alarm_for_actiontrail_config_changes_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.log_metric_filter_and_alarm_for_config_changes_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.log_metric_filter_for_authentication_failures.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_metric_filter_for_bucket_policy_changes.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_metric_filter_for_kms_cmk_deletion_or_disablement.configured,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.cloudmonitor.log_metric_filter_for_policy_changes.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_metric_filter_for_root_account_usage.configured,permissions not_contains *,permissions not_contains *,no
alicloud.cloudmonitor.log_metric_filter_for_security_group_changes.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_metric_filter_for_sign_in_without_mfa.configured,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.cloudmonitor.log_metric_filter_for_unauthorized_api_calls.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.log_metric_filter_kms_cmk_deletion_or_disablement.configured,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.cloudmonitor.log_storage.activity_logs_cmk_encryption_enabled,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,no
alicloud.cloudmonitor.log_storage.activity_logs_private_access_enforced,permissions not_contains *,permissions not_contains *,no
alicloud.cloudmonitor.network_acls_change_alarm_configured.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.network_gateways_change_alarm_configured.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.oss_bucket_policy_changes_log_metric_filter_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.cloudmonitor.route_tables_change_alarm_configured.configured,id exists ,logging_enabled equals true,YES
alicloud.cloudmonitor.vpcs_change_alarm_configured.configured,id exists ,logging_enabled equals true,YES
alicloud.cms.alarm.alert_alarm_actions_configured,id exists ,status equals Active,YES
alicloud.cms.alarm.alert_critical_alarms_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.alarm.alert_destinations_authenticated,id exists ,logging_enabled equals true,YES
alicloud.cms.alarm.configured,id exists ,status equals Active,YES
alicloud.cms.alarm.memory_utilization_configured,id exists ,status equals Active,YES
alicloud.cms.alert_escalation.escalation_change_audit_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.alert_escalation.escalation_policy_exists_for_critical_severity,id exists ,status equals Active,YES
alicloud.cms.alerts.create_policy_assignment,id exists ,status equals Active,YES
alicloud.cms.alerts.create_update_nsg,id exists ,status equals Active,YES
alicloud.cms.alerts.create_update_public_ip_address_rule,id exists ,status equals Active,YES
alicloud.cms.alerts.create_update_security_solution,id exists ,status equals Active,YES
alicloud.cms.alerts.create_update_sqlserver_fr,id exists ,status equals Active,YES
alicloud.cms.alerts.delete_nsg,id exists ,status equals Active,YES
alicloud.cms.alerts.delete_policy_assignment,id exists ,status equals Active,YES
alicloud.cms.alerts.delete_public_ip_address_rule,public_ip_address exists ,public_ip_address exists ,no
alicloud.cms.alerts.delete_security_solution,id exists ,status equals Active,YES
alicloud.cms.alerts.delete_sqlserver_fr,id exists ,status equals Active,YES
alicloud.cms.alerts.notification_destinations_configured,id exists ,status equals Active,YES
alicloud.cms.alerts.notification_endpoints_authenticated,id exists ,status equals Active,YES
alicloud.cms.alerts.notification_message_encryption_in_transit,encrypted equals true,encrypted equals true,no
alicloud.cms.alerts.notification_no_public_webhooks,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.cms.anomaly_detection.anomaly_alerts_configured,id exists ,status equals Active,YES
alicloud.cms.anomaly_detection.anomaly_detectors_enabled,logging_enabled equals true,status equals Active,YES
alicloud.cms.api.monitoring_api_access_log_fields_identity_present,id exists ,logging_enabled equals true,YES
alicloud.cms.api.monitoring_api_access_log_sink_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.api.monitoring_api_access_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.changes.to_network_acls_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.changes.to_network_gateways_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.changes.to_network_route_tables_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.changes.to_vpcs_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.changes.vpcs_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.dashboard.public_embeds_disabled,id exists ,internet_facing not_equals true,YES
alicloud.cms.dashboard.sso_required,id exists ,permissions not_contains *,YES
alicloud.cms.diagnostic.setting_with_appropriate_categories,id exists ,status equals Active,YES
alicloud.cms.diagnostic.settings_exists,id exists ,status equals Active,YES
alicloud.cms.dr.monitoring_alert_destinations_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.dr.monitoring_alerts_for_backup_failures_configured,backup_enabled equals true,backup_enabled equals true,no
alicloud.cms.dr.monitoring_alerts_for_replication_lag_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.dr.monitoring_alerts_for_rpo_rto_breach_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.emr.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.emr_admin.monitoring_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.global.endpoint_event_replication_enabled,logging_enabled equals true,status equals Active,YES
alicloud.cms.log.group_kms_encryption_enabled,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.cms.log.group_no_secrets_in_logs,id exists ,permissions not_contains *,YES
alicloud.cms.log.group_not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.cms.log.group_retention,id exists ,status equals Active,YES
alicloud.cms.log.group_retention_policy_specific_days_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log.group_retention_policy_specific_days_enabled_alicloud_oss_bucket_lifecycle_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log.metric_filter_alicloud_organizations_changes,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_and_alarm_for_actiontrail_configuration_changes_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log.metric_filter_and_alarm_for_alicloud_config_configuration_changes_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log.metric_filter_and_alarm_for_aws_config_configuration_changes_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log.metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log.metric_filter_authentication_failures,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_disable_or_scheduled_deletion_of_kms_cmk,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.cms.log.metric_filter_for_oss_bucket_policy_changes,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_for_s3_bucket_policy_changes,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_policy_changes,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_policy_changes_alicloud_ram_password_policy_reuse_24_alicloud_ram_user_accesskey_unused_alicloud_ram_user_console_access_unused,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_root_usage,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_security_group_changes,id exists ,logging_enabled equals true,YES
alicloud.cms.log.metric_filter_sign_in_without_mfa,mfa_enabled equals true,mfa_enabled equals true,no
alicloud.cms.log.metric_filter_unauthorized_api_calls,id exists ,logging_enabled equals true,YES
alicloud.cms.log_group.kms_encryption_active,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,no
alicloud.cms.log_group.retention_policy_90_days_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.log_metric_filter.iam_policy_changes_detected,id exists ,logging_enabled equals true,YES
alicloud.cms.log_metric_filter.root_account_usage_detected,permissions not_contains *,permissions not_contains *,no
alicloud.cms.metric.metric_filter_console_root_login_detected_filter_present,permissions not_contains *,permissions not_contains *,no
alicloud.cms.metric.metric_filter_iam_policy_change_detected_filter_present,id exists ,logging_enabled equals true,YES
alicloud.cms.metric.metric_filter_kms_key_deletion_or_disable_detected_filter_present,encrypted equals true,encrypted equals true,no
alicloud.cms.metric.metric_filter_network_acl_or_sg_change_detected_filter_present,id exists ,logging_enabled equals true,YES
alicloud.cms.network.anomaly_destinations_encrypted,encrypted equals true,encrypted equals true,no
alicloud.cms.network.anomaly_detectors_enabled,logging_enabled equals true,status equals Active,YES
alicloud.cms.network.monitoring_alerts_for_anomalies_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.network.monitoring_flow_logs_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.cms.network_acls.change_detection_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.network_gateways.change_detection_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.route_tables.change_detection_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.cms.storage.account_with_activity_logs_cmk_encrypted,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.cms.storage.account_with_activity_logs_is_private,id exists ,internet_facing not_equals true,YES
alicloud.cms.vpcs.change_detection_alarm_configured,id exists ,logging_enabled equals true,YES
alicloud.devops.project.artifact_encryption,encrypted equals true,encrypted equals true,no
alicloud.devops.project.envvar_awscred_check,status exists ,status exists ,no
alicloud.devops.project.logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.devops.project.no_secrets_in_variables,status exists ,status exists ,no
alicloud.devops.project.no_secrets_in_variables_alicloud_devops_project_source_repo_url_no_sensitive_credentials_alicloud_oss_bucket_enforces_ssl_alicloud_alb_ssl_listeners_alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled_alicloud_sl,encrypted equals + logging_enabled equals + ssl_enabled equals,ssl_enabled equals + min_tls_version gte,YES
alicloud.devops.project.older_90_days,status exists ,status exists ,no
alicloud.devops.project.oss_logs_encrypted,encrypted equals true,encrypted equals true,no
alicloud.devops.project.source_repo_url_check,status exists ,status exists ,no
alicloud.devops.project.source_repo_url_no_sensitive_credentials,status exists ,status exists ,no
alicloud.devops.project.source_repo_url_no_sensitive_credentials_alicloud_devops_project_no_secrets_in_variables,status exists ,status exists ,no
alicloud.devops.project.user_controlled_buildspec,status exists ,status exists ,no
alicloud.devops.report.group_export_encrypted,encrypted equals true,encrypted equals true,no
alicloud.config.aggregator.aggregation_authorization_trusts_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.config.compliance_monitoring_enabled.configured,logging_enabled equals true,logging_enabled equals true,no
alicloud.config.delivery.config_delivery_destination_access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.config.delivery.config_delivery_kms_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.config.delivery_channel.destination_access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.config.delivery_channel.kms_encryption_enabled,encrypted equals + logging_enabled equals,encrypted equals + kms_key_id exists,YES
alicloud.config.drift_detection.config_drift_alerts_configured,id exists ,logging_enabled equals true,YES
alicloud.config.drift_detection.config_drift_critical_resources_drift_detection_enabled,logging_enabled equals true,status equals Active,YES
alicloud.config.enabled.configured,logging_enabled equals true,status equals Active,YES
alicloud.config.recorder.active_all_regions_with_global_resources,logging_enabled equals true,logging_enabled equals true,no
alicloud.config.recorder.config_delivery_secure_destination_configured,encrypted equals true,encrypted equals true,no
alicloud.config.recorder.config_recorder_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.config.recorder.config_recorder_global_resource_types_tracked,id exists ,logging_enabled equals true,YES
