rule_id,for_each,current_var,proposed_var,expert_var,change_reason
alicloud.arms.tracing_analysis.trace_store_encrypted,alicloud.arms.tracing_analysis,encrypted equals + logging_enabled equals,encrypted equals + logging_enabled equals,encrypted equals + logging_enabled equals,
alicloud.arms.tracing_sampling_rule.sampling_rule_access_rbac_least_privilege,alicloud.arms.tracing_sampling_rule,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.arms.tracing_sampling_rule.sampling_rule_storage_encrypted,alicloud.arms.tracing_sampling_rule,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.bss.categories.access_billing_admins_mfa_required,alicloud.bss.categories,mfa_enabled equals true,mfa_enabled equals true,mfa_enabled equals true,
alicloud.bss.categories.access_billing_console_rbac_least_privilege,alicloud.bss.categories,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.bss.categories.access_cost_data_exports_private_and_encrypted,alicloud.bss.categories,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.bss.categories.access_cost_export_destinations_least_privilege,alicloud.bss.categories,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.bss.cost.budget_modify_permissions_restricted,alicloud.bss.cost,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.bss.document.secrets,alicloud.bss.document,id exists,permissions not_contains *,permissions not_contains *,
alicloud.bss.documents.set_as_public,alicloud.bss.documents,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.bss.ecs.regular_backups_configured,alicloud.ecs.compute_service,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.encryption_at_rest_enabled.configured,alicloud.bss.encryption_at_rest_enabled,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.bss.instances.reservation_billing_admins_mfa_required,alicloud.apigateway.DescribeInstances,mfa_enabled equals true,mfa_enabled equals true,mfa_enabled equals true,
alicloud.bss.instances.reservation_purchase_permissions_restricted,alicloud.apigateway.DescribeInstances,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.bss.managed.compliant_patching,alicloud.bss.managed,id exists,status equals Active,status equals Active,
alicloud.bss.plans.properly_configured,alicloud.bss.plans_configured_and_active,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.plans.retention_90_days_minimum,alicloud.bss.plans_configured_and_active,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.plans.savings_plan_billing_admins_mfa_required,alicloud.bss.plans_configured_and_active,mfa_enabled equals true,mfa_enabled equals true,mfa_enabled equals true,
alicloud.bss.plans_configured_and_active.configured,alicloud.bss.plans_configured_and_active,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.queues.not_publicly_accessible,alicloud.bss.queues,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.bss.queues.server_side_encryption_enabled,alicloud.bss.queues,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.bss.recovery_point.encryption_at_rest_enabled,alicloud.bss.recovery_point,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.bss.recovery_point.retention_90_days_minimum,alicloud.bss.recovery_point,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.recovery_point_encryption_at_rest_enabled.configured,alicloud.bss.recovery_point_encryption_at_rest_enabled,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.bss.reportplans_configured_and_active.configured,alicloud.bss.reportplans_configured_and_active,id exists,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.snapshot.encryption,alicloud.bss.snapshot,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.bss.tls_via_cas_kms.encryption_mtls_required_for_internal_services_where_supported,alicloud.bss.tls_via_cas_kms,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,ssl_enabled equals true,TLS/SSL rule with redundant encrypted field — use ssl_enabled only
alicloud.bss.tls_via_cas_kms.encryption_tls_min_1_2_enforced,alicloud.bss.tls_via_cas_kms,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,
alicloud.bss.topics.kms_encryption_at_rest_enabled,alicloud.apsaramq.ListTopics,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.bss.topics.not_publicly_accessible,alicloud.apsaramq.ListTopics,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.bss.vault.encryption_at_rest_enabled,alicloud.bss.vault,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.bss.vaults.encryption_at_rest_enabled,alicloud.bss.vaults,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.bss.vaults_configured_and_access_controlled.configured,alicloud.bss.vaults_configured_and_access_controlled,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.bss.volume.backup_configured,alicloud.bss.volume,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.cas.cas.certificate_key_length_minimum,alicloud.cas.cas_private_ca,encrypted equals + min_tls_version gte,encrypted equals + min_tls_version gte,encrypted equals + min_tls_version gte,
alicloud.cas.cas.certificate_not_expired,alicloud.cas.cas_private_ca,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cas.cas.certificate_trusted_issuer,alicloud.cas.cas_private_ca,id exists,status equals Active,status equals Active,
alicloud.cas.cas_private_ca.private_ca_ca_access_rbac_least_privilege,alicloud.cas.cas_private_ca,encrypted equals + permissions not_contains,encrypted equals + permissions not_contains,encrypted equals + permissions not_contains,
alicloud.cas.cas_private_ca.private_ca_ca_key_in_hsm_where_supported,alicloud.cas.cas_private_ca,id exists,status equals Active,status equals Active,
alicloud.cas.cas_private_ca.private_ca_crl_or_ocsp_configured,alicloud.cas.cas_private_ca,id exists,status equals Active,status equals Active,
alicloud.cas.certificate.expiration,alicloud.cas.certificates,id exists,status equals Active,status equals Active,
alicloud.cas.certificates.expiration_check,alicloud.cas.certificates,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cas.certificates.expiration_check_alicloud_alb_ssl_listeners_alicloud_slb_ssl_listeners_alicloud_cdn_distributions_using_deprecated_ssl_protocols,alicloud.cas.certificates,min_tls_version gte 1.2,min_tls_version gte 1.2,ssl_enabled equals true,TLS/SSL rule — use ssl_enabled not min_tls_version
alicloud.cas.certificates.expiration_check_alicloud_oss_bucket_enforces_ssl_alicloud_alb_ssl_listeners_alicloud_elasticsearch_service_domains_node_to_node_encryption_enabled_alicloud_slb_ssl_listeners_alicloud_elasticsearch_service_domains_https_communica,alicloud.cas.certificates,encrypted equals + logging_enabled equals + ssl_enabled equals,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,
alicloud.cas.certificates.not_expired_and_valid,alicloud.cas.certificates,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cas.kubernetes.cluster_confidential_computing_enabled,alicloud.cas.kubernetes,id exists,status equals Active,status equals Active,
alicloud.cas.kubernetes_cluster.confidential_computing_enforced,alicloud.cas.kubernetes_cluster,id exists,status equals Active,status equals Active,
alicloud.cen.network.eni_security_groups_present,alicloud.ack.network_policy,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cen.network.eni_security_groups_restrictive,alicloud.ack.network_policy,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cdn.cache_policy.no_sensitive_headers_cached,alicloud.cdn.cache_policy,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cdn.cloudfront.https_enforced,alicloud.cdn.cloudfront,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,
alicloud.cdn.dcdn.cdn_access_logging_enabled,alicloud.cdn.cache_policy,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cdn.dcdn.cdn_cache_key_excludes_sensitive_headers,alicloud.cdn.cache_policy,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cdn.dcdn.cdn_hsts_enabled,alicloud.cdn.cache_policy,ssl_enabled equals true,ssl_enabled equals true,ssl_enabled equals true,
alicloud.cdn.dcdn.cdn_https_only_viewer_protocol,alicloud.cdn.cache_policy,ssl_enabled equals true,ssl_enabled equals true,ssl_enabled equals true,
alicloud.cdn.dcdn.cdn_origin_access_restricted,alicloud.cdn.cache_policy,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.cdn.dcdn.cdn_signed_urls_or_headers_required_for_private_content,alicloud.cdn.cache_policy,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cdn.dcdn.cdn_tls_min_1_2_enforced,alicloud.cdn.cache_policy,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,
alicloud.cdn.dcdn.cdn_valid_trusted_certificate_attached,alicloud.cdn.cache_policy,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cdn.dcdn.cdn_waf_web_acl_attached,alicloud.cdn.cache_policy,id exists,status equals Active,status equals Active,
alicloud.cdn.distribution.custom_ssl_certificate_valid,alicloud.cdn.distribution,id exists,ssl_enabled equals true,ssl_enabled equals true,
alicloud.cdn.distribution.logging_enabled_90_day_retention,alicloud.cdn.distribution,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cdn.distribution.origin_traffic_encrypted_tls1_2_or_higher,alicloud.cdn.distribution,encrypted equals + min_tls_version gte,encrypted equals + min_tls_version gte,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.cdn.distribution.tls1_2_or_higher_enforced,alicloud.cdn.distribution,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,
alicloud.cdn.domain.custom_ssl_certificate,alicloud.cdn.DescribeCdnDeletedDomains,id exists,ssl_enabled equals true,ssl_enabled equals true,
alicloud.cdn.domain.field_level_encryption_enabled,alicloud.cdn.DescribeCdnDeletedDomains,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cdn.domain.https_enabled,alicloud.cdn.DescribeCdnDeletedDomains,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.cdn.domain.logging_enabled,alicloud.cdn.DescribeCdnDeletedDomains,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cdn.domain.multiple_origin_failover_configured,alicloud.cdn.DescribeCdnDeletedDomains,id exists,status equals Active,status equals Active,
alicloud.cdn.domain.origin_traffic_encrypted,alicloud.cdn.DescribeCdnDeletedDomains,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.cdn.domain.using_deprecated_ssl_protocols,alicloud.cdn.DescribeCdnDeletedDomains,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,
alicloud.cdn.edge.cache_policy_no_sensitive_headers_cached,alicloud.cdn.edge,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cdn.edge.cache_policy_respects_cache_control_no_store_private,alicloud.cdn.edge,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cdn.origin.origin_request_policy_no_secret_headers_forwarded,alicloud.cdn.origin,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cfw.ipset.ip_set_cidrs_valid_and_minimized,alicloud.cfw.ipset,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cfw.ipset.ip_set_cross_account_sharing_restricted,alicloud.cfw.ipset,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.cfw.microsegmentation.microseg_endpoint_policies_applied,alicloud.cfw.microsegmentation,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cfw.microsegmentation.microseg_identity_aware_policies_enabled,alicloud.cfw.microsegmentation,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cfw.network.firewall_logging_enabled,alicloud.ack.network_policy,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cfw.network.firewall_no_permit_any_any,alicloud.ack.network_policy,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cfw.policy.access_control_no_permit_all,alicloud.cfw.DescribePolicyAdvancedConfig,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cfw.policy.access_control_policies_present,alicloud.cfw.DescribePolicyAdvancedConfig,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cfw.policy.access_control_policy_store_encrypted,alicloud.cfw.DescribePolicyAdvancedConfig,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cfw.threat_analysis.anomaly_destinations_encrypted,alicloud.cfw.threat_analysis,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cfw.threat_analysis.anomaly_detectors_enabled,alicloud.cfw.threat_analysis,logging_enabled equals true,status equals Active,status equals Active,
alicloud.cfw.traffic_analysis.alert_destinations_configured,alicloud.cfw.traffic_analysis,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cfw.traffic_analysis.ids_ips_enabled_where_supported,alicloud.cfw.traffic_analysis,logging_enabled equals true,status equals Active,status equals Active,
alicloud.cfw.waf_ip_sets.ip_set_sources_trusted,alicloud.cfw.waf_ip_sets,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.cfw.waf_ip_sets.ip_set_storage_encrypted,alicloud.cfw.waf_ip_sets,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cloudfw.deployed_across_all_vpcs.configured,alicloud.cloudfw.deployed_across_all_vpcs,id exists,vpc_id exists,vpc_id exists,
alicloud.cloudfw.in.all_vpc,alicloud.cloudfw.DescribeDomainResolve,id exists,vpc_id exists,vpc_id exists,
alicloud.cloudfw.instance.automated_backups,alicloud.cloudfw.DescribeInstanceMembers,backup_enabled equals true,backup_enabled equals true,backup_enabled equals true,
alicloud.cloudfw.instance.postgres_log_connections_flag,alicloud.cloudfw.DescribeInstanceMembers,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.postgres_log_disconnections_flag,alicloud.cloudfw.DescribeInstanceMembers,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.postgres_log_error_verbosity_flag,alicloud.cloudfw.DescribeInstanceMembers,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.postgres_log_min_duration_statement_flag,alicloud.cloudfw.DescribeInstanceMembers,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.postgres_log_min_error_statement_flag,alicloud.cloudfw.DescribeInstanceMembers,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.postgres_log_min_messages_flag,alicloud.cloudfw.DescribeInstanceMembers,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.postgres_log_statement_flag,alicloud.cloudfw.DescribeInstanceMembers,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.instance.public_access,alicloud.cloudfw.DescribeInstanceMembers,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.cloudfw.instance.public_ip,alicloud.cloudfw.DescribeInstanceMembers,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.cloudfw.instance.ssl_connections,alicloud.cloudfw.DescribeInstanceMembers,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.cloudfw.log.analysis_status_check,alicloud.cloudfw.logging,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.logging.enabled,alicloud.cloudfw.logging,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.logging_enabled.configured,alicloud.cloudfw.logging_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.logging_enabled_for_all_traffic.configured,alicloud.cloudfw.logging_enabled_for_all_traffic,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudfw.multi.az,alicloud.cloudfw.multi,id exists,status equals Active,status equals Active,
alicloud.cloudfw.multi_az_with_auto_scaling.configured,alicloud.cloudfw.multi_az_with_auto_scaling,id exists,status equals Active,status equals Active,
alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled.configured,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alarm.cpu_utilization_threshold_set,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alarm.memory_utilization_threshold_set,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alarm.thresholds_configured,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.nsg_creation_update_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.nsg_deletion_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.policy_assignment_creation_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.policy_assignment_deletion_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.public_ip_rule_change_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.public_ip_rule_deletion_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.rds_sqlserver_firewall_rule_change_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alert.rds_sqlserver_firewall_rule_deletion_logged,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alerts.security_solution_creation_update_monitored,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.alerts.security_solution_deletion_monitored,alicloud.cloudmonitor.alerts,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.config_changes_log_metric_filter_and_alarm_enabled.configured,alicloud.cloudmonitor.config_changes_log_metric_filter_and_alarm_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.diagnostic_settings.categories_appropriately_configured,alicloud.cloudmonitor.diagnostic_settings,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.diagnostic_settings_presence_verified.configured,alicloud.cloudmonitor.diagnostic_settings_presence_verified,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log.metric_filter_and_alarm_for_actiontrail_changes_with_90_day_retention,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log.metric_filter_and_alert_for_oss_bucket_policy_changes,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_group.kms_encryption_at_rest_enabled,alicloud.cloudmonitor.log_group,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,
alicloud.cloudmonitor.log_group.no_secrets_in_logs_with_access_control,alicloud.cloudmonitor.log_group,id exists,permissions not_contains *,permissions not_contains *,
alicloud.cloudmonitor.log_group.not_publicly_accessible_with_encryption_enabled,alicloud.cloudmonitor.log_group,encrypted equals + public_ip_address not_exists + internet_facing not_equals + logging_enabled equals,encrypted equals + public_ip_address not_exists + internet_facing not_equals + logging_enabled equals,encrypted equals + public_ip_address not_exists + internet_facing not_equals + logging_enabled equals,
alicloud.cloudmonitor.log_group.retention_90_days,alicloud.cloudmonitor.log_group,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_group_kms_cmk_encryption_at_rest_enabled.configured,alicloud.cloudmonitor.log_group_kms_cmk_encryption_at_rest_enabled,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,
alicloud.cloudmonitor.log_group_retention_policy_90_days_enabled.configured,alicloud.cloudmonitor.log_group_retention_policy_90_days_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter.organizations_changes_with_alerting,alicloud.cloudmonitor.log_metric_filter,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_and_alarm_for_actiontrail_config_changes_enabled.configured,alicloud.cloudmonitor.log_metric_filter_and_alarm_for_actiontrail_config_changes_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_and_alarm_for_config_changes_enabled.configured,alicloud.cloudmonitor.log_metric_filter_and_alarm_for_config_changes_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_for_authentication_failures.configured,alicloud.cloudmonitor.log_metric_filter_for_authentication_failures,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_for_bucket_policy_changes.configured,alicloud.cloudmonitor.log_metric_filter_for_bucket_policy_changes,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_for_kms_cmk_deletion_or_disablement.configured,alicloud.cloudmonitor.log_metric_filter_for_kms_cmk_deletion_or_disablement,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.cloudmonitor.log_metric_filter_for_policy_changes.configured,alicloud.cloudmonitor.log_metric_filter_for_policy_changes,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_for_root_account_usage.configured,alicloud.cloudmonitor.log_metric_filter_for_root_account_usage,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.cloudmonitor.log_metric_filter_for_security_group_changes.configured,alicloud.cloudmonitor.log_metric_filter_for_security_group_changes,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_for_sign_in_without_mfa.configured,alicloud.cloudmonitor.log_metric_filter_for_sign_in_without_mfa,mfa_enabled equals true,mfa_enabled equals true,mfa_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_for_unauthorized_api_calls.configured,alicloud.cloudmonitor.log_metric_filter_for_unauthorized_api_calls,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.log_metric_filter_kms_cmk_deletion_or_disablement.configured,alicloud.cloudmonitor.log_metric_filter_kms_cmk_deletion_or_disablement,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.cloudmonitor.log_storage.activity_logs_cmk_encryption_enabled,alicloud.cloudmonitor.log_storage,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,encrypted equals + kms_key_id exists + logging_enabled equals,
alicloud.cloudmonitor.log_storage.activity_logs_private_access_enforced,alicloud.cloudmonitor.log_storage,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.cloudmonitor.network_acls_change_alarm_configured.configured,alicloud.cloudmonitor.network_acls_change_alarm_configured,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.network_gateways_change_alarm_configured.configured,alicloud.cloudmonitor.network_gateways_change_alarm_configured,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.oss_bucket_policy_changes_log_metric_filter_enabled.configured,alicloud.cloudmonitor.oss_bucket_policy_changes_log_metric_filter_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.route_tables_change_alarm_configured.configured,alicloud.cloudmonitor.route_tables_change_alarm_configured,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cloudmonitor.vpcs_change_alarm_configured.configured,alicloud.cloudmonitor.vpcs_change_alarm_configured,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cms.alarm.alert_alarm_actions_configured,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,status equals Active,logging_enabled equals true,Monitoring/alerting/logging rule — use logging_enabled not status
alicloud.cms.alarm.alert_critical_alarms_enabled,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cms.alarm.alert_destinations_authenticated,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.cms.alarm.configured,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,status equals Active,logging_enabled equals true,CMS alarm configuration rule — use logging_enabled not status
alicloud.cms.alarm.memory_utilization_configured,alicloud.cloudmonitor.actiontrail_config_changes_log_metric_filter_and_alarm_enabled,id exists,status equals Active,logging_enabled equals true,CMS alarm configuration rule — use logging_enabled not status
alicloud.cms.alert_escalation.escalation_change_audit_logging_enabled,alicloud.cms.alert_escalation,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.cms.alert_escalation.escalation_policy_exists_for_critical_severity,alicloud.cms.alert_escalation,id exists,status equals Active,status equals Active,
alicloud.cms.alerts.create_policy_assignment,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.create_update_nsg,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.create_update_public_ip_address_rule,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.create_update_security_solution,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.create_update_sqlserver_fr,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.delete_nsg,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.delete_policy_assignment,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
alicloud.cms.alerts.delete_public_ip_address_rule,alicloud.cms.alerts,public_ip_address exists,public_ip_address exists,public_ip_address exists,
alicloud.cms.alerts.delete_security_solution,alicloud.cms.alerts,id exists,status equals Active,logging_enabled equals true,CMS alert-event tracking rule — use logging_enabled not status
